Joakim Kemell,526043,Finland U18,7,3,10,11,7,9,7,1,4,4
David Jiricek,559522,HC Plzen,6,6,2,5,5,5,4,2,1,2
Shane Wright,526239,Kingston Frontenacs,2,1,1,1,1,1,1,3,3,1
Simon Nemec,589605,HK Nitra,4,5,6,4,4,4,4,4,2,3
Matthew Savoie,476028,Winnipeg Ice,9,19,9,13,6,6,10,5,11,6
Logan Cooley,651538,USNTDP Juniors,3,4,4,2,2,2,2,6,12,7
Jordan Dumais,568363,Halifax Mooseheads,33,33,33,33,33,33,33,7,29,20
Isaac Howard,603668,USNTDP Juniors,20,32,33,22,23,12,23,8,10,5
Jonathan Lekkerimaki,649220,Sweden U18,8,9,18,12,9,10,11,9,22,22
Jiri Kulich,579198,Czechia U18,18,14,29,27,15,30,22,10,27,34
Frank Nazar,574819,USNTDP Juniors,15,25,5,7,12,14,13,11,20,10
Jagger Firkus,565465,Moose Jaw Warriors,33,16,20,25,20,28,23,12,38,31
Ivan Miroshnichenko,526255,Omskie Krylia,19,15,33,23,19,27,22,13,14,14
Rutger Mcgroarty,526095,USNTDP Juniors,27,26,33,15,33,25,26,14,13,11
Luca Del Bel Belluz,525669,Mississauga Steelheads,29,23,33,33,33,26,29,15,30,23
Cutter Gauthier,526094,USNTDP Juniors,5,7,11,6,13,7,8,16,17,16
David Goyette,562220,Sudbury Wolves,33,22,33,33,27,33,30,17,32,21
Conor Geekie,571034,Winnipeg Ice,13,29,17,26,14,11,18,18,9,12
Gleb Trikozov,690807,Omskie Yastreby,33,33,22,21,26,33,28,19,19,17
Nicholas Moldenhauer,535872,Chicago Steel,33,33,33,33,33,33,33,20,45,41
Alex Perevalov,538042,Lokomotiv Yaroslavl,33,21,33,33,25,29,29,21,31,29
Adam Ingram,483377,Youngstown Phantoms,33,33,33,33,33,33,33,22,63,82
Viktor Neuchev,618304,Avto Yekaterinburg,33,33,33,33,33,33,33,23,49,46
Jani Nyman,611825,Finland U18,33,33,33,33,33,33,33,24,16,19
Lane Hutson,526227,USNTDP Juniors,33,31,33,31,33,33,32,25,21,18
Dylan James,506333,Sioux City Musketeers,33,33,33,33,33,33,33,26,88,86
Denton Mateychuk,570931,Moose Jaw Warriors,24,24,8,17,17,16,17,27,6,13
Ilya Kvochko,698623,Stalnye Lisy Magnitogorsk,33,33,33,33,33,33,33,28,95,60
Kevin Korchinski,516605,Seattle Thunderbirds,11,10,19,8,18,13,13,29,5,8
Jimmy Snuggerud,623832,USNTDP Juniors,17,8,24,33,31,18,21,30,26,32
Vadim Fattakhov,700187,MHK Spartak Moskva,33,33,33,33,33,33,33,31,372,136
Pavel Mintyukov,527453,Saginaw Spirit,12,11,7,10,11,17,11,32,7,15
Marco Kasper,560848,Rogle BK,10,17,12,16,24,8,14,33,52,57
Filip Mesar,527430,HK Poprad,30,33,33,30,16,33,29,34,65,38
Christian Kyrou,582653,Erie Otters,33,33,33,33,33,33,33,35,18,26
Jordan Gustafson,511853,Seattle Thunderbirds,33,33,33,33,33,33,33,36,79,59
Marcel Mahkovec,682665,Krefelder EV 1981 U23,33,33,33,33,33,33,33,37,103,75
Matthew Seminoff,538928,Kamloops Blazers,33,33,33,33,33,33,33,38,56,37
Mathew Ward,561338,Swift Current Broncos,33,33,33,33,33,33,33,39,100,43
Liam Ohgren,535698,Sweden U18,21,18,13,18,21,23,19,40,58,52
Cedrick Guindon,535814,Owen Sound Attack,33,33,33,33,33,33,33,41,89,53
Reid Schaefer,506838,Seattle Thunderbirds,33,20,33,33,33,33,30,42,55,61
Ryan Greene,492228,Green Bay Gamblers,33,33,33,33,33,33,33,43,69,63
Raul Yakupov,699971,Reaktor Nizhnekamsk,33,33,33,33,33,33,33,44,60,68
Kirill Dolzhenkov,620329,Krasnaya Armiya Moskva,33,33,33,33,33,33,33,45,8,9
Brandon Lisowsky,551574,Saskatoon Blades,33,33,33,33,33,33,33,46,80,44
Jake Richard,670882,Muskegon Lumberjacks,33,33,33,33,33,33,33,47,78,62
Danny Zhilkin,619189,Guelph Storm,33,33,33,33,33,33,33,48,84,101
Servac Petrovsky,527429,Owen Sound Attack,33,33,33,33,33,33,33,49,35,27
Yaroslav Yapparov,698996,Mamonty Yugry,33,33,33,33,33,33,33,50,76,104
Pano Fimis,526062,Niagara IceDogs,33,33,33,33,33,33,33,51,75,58
Danila Yurov,672619,Metallurg Magnitogorsk,14,12,23,14,10,15,14,52,51,35
Ben Hemmerling,558211,Everett Silvertips,33,33,33,33,33,33,33,53,169,150
Fraser Minten,529809,Kamloops Blazers,33,33,33,33,33,33,33,54,28,24
Cameron Lund,603638,Green Bay Gamblers,33,33,33,33,33,33,33,55,50,51
Artyom Duda,620321,Krasnaya Armiya Moskva,33,33,33,33,33,33,33,56,24,28
Cole Knuble,566424,Fargo Force,33,33,33,33,33,33,33,57,128,124
Brayden Schuurman,556509,Victoria Royals,33,33,33,33,33,33,33,58,96,48
Tyson Dyck,635386,Cranbrook Bucks,33,33,33,33,33,33,33,59,121,108
Ty Nelson,603794,North Bay Battalion,33,33,33,33,33,33,33,60,15,25
Michael La Starza,568366,Multiple,33,33,33,33,33,33,33,61,110,66
Ludwig Persson,423614,Frolunda HC,33,33,33,33,33,33,33,62,135,99
Evan Konyen,526483,Sudbury Wolves,33,33,33,33,33,33,33,63,164,102
Adam Sykora,527426,HK Nitra,33,33,33,33,33,33,33,64,92,78
Gavin Hayes,635399,Flint Firebirds,33,33,33,33,33,33,33,65,116,140
Parker Bell,539062,Tri-City Americans,33,33,33,33,33,33,33,66,86,119
Vinzenz Rohrer,406803,Ottawa 67's,33,33,33,33,33,33,33,67,129,146
Owen Beck,647942,Mississauga Steelheads,33,33,21,33,33,33,31,68,91,67
Markus Vidicek,566116,Halifax Mooseheads,33,33,33,33,33,33,33,69,183,133
Gustav Karlsson,543274,Orebro HK J20,33,33,33,33,33,33,33,70,240,234
Josh Nadeau,573985,Penticton Vees,33,33,33,33,33,33,33,71,435,170
Matyas Sapovaliv,559506,Saginaw Spirit,33,33,33,33,33,33,33,72,57,85
Quinn Finley,630047,Madison Capitols,33,33,33,33,33,33,33,73,123,160
Matthew Poitras,661581,Guelph Storm,33,33,33,33,33,33,33,74,151,107
Noah Ostlund,535699,Sweden U18,22,30,27,24,22,19,24,75,115,73
Jake Livanavage,571946,Chicago Steel,33,33,33,33,33,33,33,76,74,49
Owen Mehlenbacher,626544,Muskegon Lumberjacks,33,33,33,33,33,33,33,77,99,112
Aleksanteri Kaskimaki,640621,Finland U18,33,33,33,33,33,33,33,78,172,188
Bryce Mcconnell-Barker,640853,Soo Greyhounds,33,33,33,33,33,33,33,79,73,71
Ryan Abraham,603774,Windsor Spitfires,33,33,33,33,33,33,33,80,239,116
Yegor Gribkov,708568,Fehervari Titanok,33,33,33,33,33,33,33,81,33,30
Cruz Lucius,512107,USNTDP Juniors,33,33,33,33,33,33,33,82,71,50
Davis Burnside,464776,Multiple,33,33,33,33,33,33,33,83,256,214
Jack Devine,464780,Univ. of Denver,33,33,33,33,33,33,33,84,210,127
Kocha Delic,535870,Sudbury Wolves,33,33,33,33,33,33,33,85,139,92
Juraj Slafkovsky,527423,TPS U20,1,2,3,3,3,3,2,86,37,42
Jere Lassila,526041,Finland U18,33,33,33,33,33,33,33,87,197,151
Vladimir Grudinin,651884,CSKA Moskva,33,33,31,33,32,33,32,88,137,90
Michael Buchinger,526053,Guelph Storm,33,33,33,33,33,33,33,89,23,39
German Tochilkin,699318,Sarmaty Orenburg,33,33,33,33,33,33,33,90,161,163
Valentin Grossetete,620543,Grenoble,33,33,33,33,33,33,33,91,173,134
Theo Keilin,485564,Skelleftea AIK J20,33,33,33,33,33,33,33,92,158,88
Beau Jelsma,549080,Barrie Colts,33,33,33,33,33,33,33,93,167,114
Zakary Lavoie,519028,Mississauga Steelheads,33,33,33,33,33,33,33,94,194,135
Devin Kaplan,526063,USNTDP Juniors,33,33,33,33,33,33,33,95,47,40
Filip Bystedt,578760,Sweden U18,33,33,33,33,33,33,33,96,62,89
Justin Cote,571226,Drummondville Voltigeurs,33,33,33,33,33,33,33,97,218,96
Hudson Thornton,483418,Prince George Cougars,33,33,33,33,33,33,33,98,66,72
Aldiyar Nurlan,617927,Multiple,33,33,33,33,33,33,33,99,107,98
Tommy Purdeller,561349,RB Hockey Juniors,33,33,33,33,33,33,33,100,136,100
Nathan Gaucher,340644,Quebec Remparts,28,33,25,29,33,22,28,101,46,33
Vyacheslav Malov,543187,Omskie Yastreby,33,33,33,33,33,33,33,102,247,152
Jake Karabela,648869,Guelph Storm,33,33,33,33,33,33,33,103,232,157
Joel Ratkovic Berndtsson,564455,Frolunda HC J20,33,33,33,33,33,33,33,104,290,235
Konstantin Morozhnikov,550407,Multiple,33,33,33,33,33,33,33,105,85,69
Josh Filmon,572099,Swift Current Broncos,33,33,33,33,33,33,33,106,272,443
Konsta Kapanen,639024,KalPa U20,33,33,33,33,33,33,33,107,1098,617
Yoan Loshing,574583,Moncton Wildcats,33,33,33,33,33,33,33,108,391,236
Nikolai Khvorov,543189,Omskie Yastreby,33,33,33,33,33,33,33,109,178,241
Nolan Flamand,532700,Kelowna Rockets,33,33,33,33,33,33,33,110,407,227
